district,locality,price_raw,price_num,area_raw,area_sqft,price_per_sqft,price_per_sqft_calc,cents,price_per_cent,location
alappuzha,Kattanam,₹39,3900000,5662,5662,,688.8025433,12.99816345,300042.3878,alappuzha_Kattanam
alappuzha,Purakkad,₹90,9000000,6534,6534,,1377.410468,15.0,600000.0,alappuzha_Purakkad
alappuzha,Kareelakulangara,₹1.14 Cr,11400000,10454,10454,,1090.491678,23.99908173,475018.1749,alappuzha_Kareelakulangara
alappuzha,Thottappally,₹8 Cr,80000000,105415,105415,,758.9052791,241.9995409,330579.1396,alappuzha_Thottappally
alappuzha,Vayalar,₹5.9 Cr,59000000,25700,25700,,2295.719844,58.99908173,1000015.564,alappuzha_Vayalar
alappuzha,Kalarcode,₹23,2300000,3136,3136,,733.4183673,7.199265381,319477.0408,alappuzha_Kalarcode
alappuzha,Chunakkara,₹33,3300000,12632,12632,,261.241292,28.99908173,113796.7068,alappuzha_Chunakkara
alappuzha,Veeyapuram,₹67.21,6721000,12458,12458,,539.4926955,28.59963269,235003.0181,alappuzha_Veeyapuram
alappuzha,Arattuvazhi,₹4.9,490000,3049,3049,,160.708429,6.999540863,70004.59167,alappuzha_Arattuvazhi
alappuzha,Chengannur,₹1.73 Cr,17300000,50094,50094,,345.3507406,115.0,150434.7826,alappuzha_Chengannur
alappuzha,Kadakkarappally,₹18,1800000,5227,5227,,344.365793,11.99954086,150005.7394,alappuzha_Kadakkarappally
alappuzha,Ambalapuzha,₹25,2500000,4356,4356,,573.9210285,10.0,250000.0,alappuzha_Ambalapuzha
alappuzha,Kallissery,₹90,9000000,12632,12632,,712.4762508,28.99908173,310354.6548,alappuzha_Kallissery
alappuzha,Mavelikara,₹50,5000000,4628,4628,,1080.380294,10.62442608,470613.656,alappuzha_Mavelikara
alappuzha,kanjirathmoodu,₹3 Cr,30000000,130680,130680,,229.5684114,300.0,100000.0,alappuzha_kanjirathmoodu
alappuzha,Mavelikara,₹1.2 Cr,12000000,43560,43560,,275.4820937,100.0,120000.0,alappuzha_Mavelikara
alappuzha,Kunnam,₹51,5100000,5915,5915,,862.2147084,13.57897153,375580.727,alappuzha_Kunnam
alappuzha,Vezhapra,₹1.4 Cr,14000000,15000,15000,,933.3333333,34.43526171,406560.0,alappuzha_Vezhapra
alappuzha,Kunnam,₹51.61,5161000,5915,5915,,872.5274725,13.57897153,380072.967,alappuzha_Kunnam
alappuzha,Kayamkulam,₹85,8500000,11761,11761,,722.7276592,26.99954086,314820.1684,alappuzha_Kayamkulam
alappuzha,Mannar,₹65,6500000,13068,13068,,497.3982247,30.0,216666.6667,alappuzha_Mannar
alappuzha,Kuthiathodu,₹1.15 Cr,11500000,10890,10890,,1056.014692,25.0,460000.0,alappuzha_Kuthiathodu
alappuzha,Chengannur,₹8.45,845000,2178,2178,,387.9706152,5.0,169000.0,alappuzha_Chengannur
alappuzha,Kayamkulam,₹1.12 Cr,11200000,6079,6079,,1842.408291,13.95546373,802553.0515,alappuzha_Kayamkulam
alappuzha,Mavelikara,₹1.6 Cr,16000000,43560,43560,,367.3094582,100.0,160000.0,alappuzha_Mavelikara
alappuzha,Kayamkulam,₹1.12 Cr,11200000,6098,6098,,1836.66776,13.99908173,800052.4762,alappuzha_Kayamkulam
alappuzha,Cherthala,₹67.5,6750000,19602,19602,,344.3526171,45.0,150000.0,alappuzha_Cherthala
alappuzha,Kattanam,₹1.5 Cr,15000000,18730,18730,,800.8542445,42.99816345,348852.1089,alappuzha_Kattanam
alappuzha,Ambalapuzha,₹5.5,550000,4791,4791,,114.7985807,10.99862259,50006.26174,alappuzha_Ambalapuzha
alappuzha,Old Mavelikkara,₹32.81,3281000,3811,3811,,860.9288901,8.748852158,375020.6245,alappuzha_Old Mavelikkara
alappuzha,Punnamoodu,₹1.8 Cr,18000000,5227,5227,,3443.65793,11.99954086,1500057.394,alappuzha_Punnamoodu
alappuzha,Thumpoly,₹4,400000,11499,11499,,34.78563353,26.39807163,15152.62197,alappuzha_Thumpoly
alappuzha,Thuravoor,₹96,9600000,5227,5227,,1836.617563,11.99954086,800030.6103,alappuzha_Thuravoor
alappuzha,Kayamkulam,₹17,1700000,1633,1633,,1041.028781,3.748852158,453472.1372,alappuzha_Kayamkulam
alappuzha,Kommady,₹70,7000000,2722,2722,,2571.638501,6.248852158,1120205.731,alappuzha_Kommady
alappuzha,Vazhicherry Ward,₹2.2 Cr,22000000,9583,9583,,2295.732025,21.99954086,1000020.87,alappuzha_Vazhicherry Ward
alappuzha,Ezhupunna,₹2 Cr,20000000,34848,34848,,573.9210285,80.0,250000.0,alappuzha_Ezhupunna
alappuzha,Haripad,₹26,2600000,5662,5662,,459.2016955,12.99816345,200028.2586,alappuzha_Haripad
alappuzha,Thyckattusery,₹4.25 Cr,42500000,71874,71874,,591.3125748,165.0,257575.7576,alappuzha_Thyckattusery
alappuzha,Venmony,₹84,8400000,9147,9147,,918.33388,20.99862259,400026.2381,alappuzha_Venmony
alappuzha,Kattanam,₹3.75 Cr,37500000,54450,54450,,688.7052342,125.0,300000.0,alappuzha_Kattanam
alappuzha,Chengannur,₹12.8,1280000,3484,3484,,367.3938002,7.998163453,160036.7394,alappuzha_Chengannur
alappuzha,Cherthala,₹42,4200000,6098,6098,,688.75041,13.99908173,300019.6786,alappuzha_Cherthala
alappuzha,Chengannur,₹93,9300000,13503,13503,,688.7358365,30.99862259,300013.3304,alappuzha_Chengannur
alappuzha,Aryad South,₹66,6600000,5227,5227,,1262.674574,11.99954086,550021.0446,alappuzha_Aryad South
alappuzha,Mammood,₹5 Cr,50000000,10890,10890,,4591.368228,25.0,2000000.0,alappuzha_Mammood
alappuzha,Pazhaveedu,₹40,4000000,4356,4356,,918.2736455,10.0,400000.0,alappuzha_Pazhaveedu
alappuzha,Kanichukulangara,₹40,4000000,8712,8712,,459.1368228,20.0,200000.0,alappuzha_Kanichukulangara
alappuzha,Cherthala,₹30,3000000,2178,2178,,1377.410468,5.0,600000.0,alappuzha_Cherthala
alappuzha,Karuvatta,₹1.8,180000,86111,86111,,2.090325278,197.6836547,910.545691,alappuzha_Karuvatta
alappuzha,Cheppad,₹1.35 Cr,13500000,10018,10018,,1347.574366,22.99816345,587003.3939,alappuzha_Cheppad
alappuzha,Mavelikara,₹60,6000000,13068,13068,,459.1368228,30.0,200000.0,alappuzha_Mavelikara
alappuzha,Chengannur,₹66,6600000,5227,5227,,1262.674574,11.99954086,550021.0446,alappuzha_Chengannur
alappuzha,Mavelikara,₹20,2000000,4356,4356,,459.1368228,10.0,200000.0,alappuzha_Mavelikara
alappuzha,Vallikunnam,₹50,5000000,11761,11761,,425.1339172,26.99954086,185188.3343,alappuzha_Vallikunnam
alappuzha,Ambalapuzha,₹1.6 Cr,16000000,6098,6098,,2623.811086,13.99908173,1142932.109,alappuzha_Ambalapuzha
alappuzha,Nedumudy,₹1.42 Cr,14200000,24829,24829,,571.9118772,56.99954086,249124.8137,alappuzha_Nedumudy
alappuzha,Punnapra,₹37.5,3750000,2722,2722,,1377.663483,6.248852158,600110.2131,alappuzha_Punnapra
alappuzha,Venmony,₹25,2500000,6969,6969,,358.7315253,15.99862259,156263.4524,alappuzha_Venmony
alappuzha,Punnapra,₹27.5,2750000,6,6,,458333.3333,0.013774105,199650000.0,alappuzha_Punnapra
alappuzha,Cherthala,₹20,2000000,4138,4138,,483.3252779,9.499540863,210536.4911,alappuzha_Cherthala
alappuzha,Kayamkulam,₹75,7500000,11325,11325,,662.2516556,25.99862259,288476.8212,alappuzha_Kayamkulam
alappuzha,Chengannur,₹3.12 Cr,31200000,10454,10454,,2984.503539,23.99908173,1300049.742,alappuzha_Chengannur
alappuzha,Thumpoly,₹1 Cr,10000000,11478,11478,,871.2319219,26.34986226,379508.6252,alappuzha_Thumpoly
alappuzha,Mannanchery,₹50,5000000,3593,3593,,1391.594768,8.248393021,606178.6808,alappuzha_Mannanchery
alappuzha,alappuzha,₹3.52 Cr,35200000,11761,11761,,2992.942777,26.99954086,1303725.874,alappuzha_alappuzha
alappuzha,Mavelikara,₹33.75,3375000,5880,5880,,573.9795918,13.49862259,250025.5102,alappuzha_Mavelikara
alappuzha,Panavally,₹95,9500000,9583,9583,,991.3388292,21.99954086,431827.194,alappuzha_Panavally
alappuzha,Cherthala,₹1.8 Cr,18000000,52272,52272,,344.3526171,120.0,150000.0,alappuzha_Cherthala
alappuzha,Mavelikara,₹1.4 Cr,14000000,4207,4207,,3327.787022,9.657943067,1449584.027,alappuzha_Mavelikara
alappuzha,Mavelikara,₹70,7000000,23958,23958,,292.1779781,55.0,127272.7273,alappuzha_Mavelikara
alappuzha,Thanneermukkom,₹65,6500000,28314,28314,,229.5684114,65.0,100000.0,alappuzha_Thanneermukkom
alappuzha,Kuttanad Taluk,₹45,4500000,26136,26136,,172.1763085,60.0,75000.0,alappuzha_Kuttanad Taluk
alappuzha,Mararikulam,₹16,1600000,2178,2178,,734.6189164,5.0,320000.0,alappuzha_Mararikulam
alappuzha,Cherthala,₹1.6 Cr,16000000,85377,85377,,187.4041018,195.9986226,81633.22675,alappuzha_Cherthala
alappuzha,Chengannur,₹1.2 Cr,12000000,34848,34848,,344.3526171,80.0,150000.0,alappuzha_Chengannur
alappuzha,Mulakuzha,₹45,4500000,7840,7840,,573.9795918,17.99816345,250025.5102,alappuzha_Mulakuzha
alappuzha,Charummoodu,₹2 Cr,20000000,21780,21780,,918.2736455,50.0,400000.0,alappuzha_Charummoodu
alappuzha,Haripad,₹13,1300000,4356,4356,,298.4389348,10.0,130000.0,alappuzha_Haripad
alappuzha,Kalavoor,₹57.75,5775000,142000,142000,,40.66901408,325.9871442,17715.42254,alappuzha_Kalavoor
alappuzha,Cherthala,₹45,4500000,4791,4791,,939.2611146,10.99862259,409142.1415,alappuzha_Cherthala
alappuzha,Nadubhagam,₹1.5 Cr,15000000,5575,5575,,2690.58296,12.79843893,1172017.937,alappuzha_Nadubhagam
alappuzha,Ambalapuzha,₹38,3800000,3484,3484,,1090.700344,7.998163453,475109.07,alappuzha_Ambalapuzha
alappuzha,Bernad Junction,₹33.25,3325000,4138,4138,,803.5282745,9.499540863,350016.9164,alappuzha_Bernad Junction
alappuzha,Komalapuram,₹33,3300000,4359,4359,,757.0543703,10.00688705,329772.8837,alappuzha_Komalapuram
alappuzha,Pazhaveedu,₹52,5200000,3920,3920,,1326.530612,8.999081726,577836.7347,alappuzha_Pazhaveedu
alappuzha,Kalavoor,₹1.7 Cr,17000000,8712,8712,,1951.331497,20.0,850000.0,alappuzha_Kalavoor
alappuzha,Kayamkulam,₹54.25,5425000,6751,6751,,803.5846541,15.49816345,350041.4753,alappuzha_Kayamkulam
alappuzha,Cherthala,₹1.35 Cr,13500000,21780,21780,,619.8347107,50.0,270000.0,alappuzha_Cherthala
alappuzha,Karuvatta,₹5 Cr,50000000,43560,43560,,1147.842057,100.0,500000.0,alappuzha_Karuvatta
alappuzha,Kalarcode,₹90,9000000,5445,5445,,1652.892562,12.5,720000.0,alappuzha_Kalarcode
alappuzha,Pathiyoor,₹20,2000000,4356,4356,,459.1368228,10.0,200000.0,alappuzha_Pathiyoor
alappuzha,Chettikulangara,₹47.5,4750000,8929,8929,,531.9744652,20.49816345,231728.0771,alappuzha_Chettikulangara
alappuzha,Chengannur,₹50,5000000,8712,8712,,573.9210285,20.0,250000.0,alappuzha_Chengannur
alappuzha,Kuttemperoor,₹3.1 Cr,31000000,40946,40946,,757.0947101,93.99908173,329790.4557,alappuzha_Kuttemperoor
alappuzha,Kattanam,₹40,4000000,4356,4356,,918.2736455,10.0,400000.0,alappuzha_Kattanam
alappuzha,Cherthala,₹60.75,6075000,5880,5880,,1033.163265,13.49862259,450045.9184,alappuzha_Cherthala
alappuzha,Ezhupunna,₹96,9600000,12,12,,800000.0,0.027548209,348480000.0,alappuzha_Ezhupunna
alappuzha,Thakazhy,₹2.4 Cr,24000000,52272,52272,,459.1368228,120.0,200000.0,alappuzha_Thakazhy
alappuzha,Haripad,₹65,6500000,5227,5227,,1243.543141,11.99954086,541687.3924,alappuzha_Haripad
alappuzha,Mavelikara,₹27.5,2750000,4791,4791,,573.9929034,10.99862259,250031.3087,alappuzha_Mavelikara
alappuzha,Mavelikara,₹75,7500000,13068,13068,,573.9210285,30.0,250000.0,alappuzha_Mavelikara
alappuzha,Cherthala,₹1.31 Cr,13100000,16313,16313,,803.0405198,37.44949495,349804.4504,alappuzha_Cherthala
alappuzha,Kanjikuzhy,₹75,7500000,6795,6795,,1103.752759,15.59917355,480794.702,alappuzha_Kanjikuzhy
alappuzha,Mavelikara,₹16,1600000,4356,4356,,367.3094582,10.0,160000.0,alappuzha_Mavelikara
alappuzha,Chengannur,₹21,2100000,2831,2831,,741.7873543,6.499081726,323122.5715,alappuzha_Chengannur
alappuzha,Cherthala,₹38.5,3850000,4791,4791,,803.5900647,10.99862259,350043.8322,alappuzha_Cherthala
alappuzha,Haripad,₹3.35,335000,13500,13500,,24.81481481,30.99173554,10809.33333,alappuzha_Haripad
alappuzha,Arthunkal,₹5 Cr,50000000,32670,32670,,1530.456076,75.0,666666.6667,alappuzha_Arthunkal
alappuzha,Kudassanad,₹1.13 Cr,11300000,49222,49222,,229.5721425,112.9981635,100001.6253,alappuzha_Kudassanad
alappuzha,Chengannur,₹40,4000000,8750,8750,,457.1428571,20.087236,199131.4286,alappuzha_Chengannur
alappuzha,Chengannur,₹16,1600000,3484,3484,,459.2422503,7.998163453,200045.9242,alappuzha_Chengannur
alappuzha,Nooranad,₹75,7500000,15246,15246,,491.9323101,35.0,214285.7143,alappuzha_Nooranad
alappuzha,Mararikulam,₹45,4500000,5445,5445,,826.446281,12.5,360000.0,alappuzha_Mararikulam
alappuzha,Aryad South,₹45,4500000,5445,5445,,826.446281,12.5,360000.0,alappuzha_Aryad South
alappuzha,Kizhakke NadaKizhakke Nada,₹1.75 Cr,17500000,5445,5445,,3213.957759,12.5,1400000.0,alappuzha_Kizhakke NadaKizhakke Nada
alappuzha,Thuravoor,₹12,1200000,5227,5227,,229.5771953,11.99954086,100003.8263,alappuzha_Thuravoor
alappuzha,Cherthala,₹50,5000000,7187,7187,,695.7005705,16.49908173,303047.1685,alappuzha_Cherthala
alappuzha,Chengannur,₹30,3000000,6534,6534,,459.1368228,15.0,200000.0,alappuzha_Chengannur
alappuzha,Aryad South,₹1.45 Cr,14500000,15681,15681,,924.6859256,35.99862259,402793.1892,alappuzha_Aryad South
alappuzha,Chengannur,₹1 Cr,10000000,17424,17424,,573.9210285,40.0,250000.0,alappuzha_Chengannur
alappuzha,Pallikkuttumma,₹45,4500000,217800,217800,,20.66115702,500.0,9000.0,alappuzha_Pallikkuttumma
alappuzha,Cherthala,₹30,3000000,4356,4356,,688.7052342,10.0,300000.0,alappuzha_Cherthala
alappuzha,Kalavoor,₹69.35,6935000,8276,8276,,837.9652006,18.99908173,365017.6414,alappuzha_Kalavoor
alappuzha,Cherthala,₹27,2700000,1960,1960,,1377.55102,4.499540863,600061.2245,alappuzha_Cherthala
alappuzha,Cherthala,₹2.92 Cr,29200000,39204,39204,,744.8219569,90.0,324444.4444,alappuzha_Cherthala
alappuzha,Haripad,₹63,6300000,850,850,,7411.764706,1.951331497,3228564.706,alappuzha_Haripad
alappuzha,Cherthala,₹1.35 Cr,13500000,21780,21780,,619.8347107,50.0,270000.0,alappuzha_Cherthala
alappuzha,Ramankary,₹20,2000000,3484,3484,,574.0528129,7.998163453,250057.4053,alappuzha_Ramankary
alappuzha,Venmony,₹32,3200000,6969,6969,,459.1763524,15.99862259,200017.2191,alappuzha_Venmony
alappuzha,Panavally,₹1.96 Cr,19600000,85377,85377,,229.5700247,195.9986226,100000.7028,alappuzha_Panavally
alappuzha,Mavelikara,₹2.8 Cr,28000000,17424,17424,,1606.97888,40.0,700000.0,alappuzha_Mavelikara
alappuzha,Kayamkulam,₹15.5,1550000,2152,2152,,720.260223,4.940312213,313745.3532,alappuzha_Kayamkulam
alappuzha,Chengannur,₹75,7500000,8712,8712,,860.8815427,20.0,375000.0,alappuzha_Chengannur
alappuzha,Chengannur,₹1.6 Cr,16000000,16988,16988,,941.8412997,38.99908173,410266.0702,alappuzha_Chengannur
alappuzha,Kalarcode,₹60,6000000,4356,4356,,1377.410468,10.0,600000.0,alappuzha_Kalarcode
alappuzha,Mavelikara,₹24,2400000,5227,5227,,459.1543907,11.99954086,200007.6526,alappuzha_Mavelikara
alappuzha,Muhamma,₹20,2000000,10,10,,200000.0,0.022956841,87120000.0,alappuzha_Muhamma
alappuzha,Thuravoor,₹32,3200000,1851,1851,,1728.795246,4.249311295,753063.2091,alappuzha_Thuravoor
alappuzha,Kareelakulangara,₹50,5000000,7405,7405,,675.2194463,16.99954086,294125.5908,alappuzha_Kareelakulangara
alappuzha,Kanjikuzhy,₹27.5,2750000,4573,4573,,601.3557839,10.49816345,261950.5795,alappuzha_Kanjikuzhy
alappuzha,Chengannur,₹86,8600000,20037,20037,,429.205969,45.99862259,186962.1201,alappuzha_Chengannur
alappuzha,Ambalapuzha,₹70,7000000,8712,8712,,803.4894399,20.0,350000.0,alappuzha_Ambalapuzha
alappuzha,Ezhupunna,₹80,8000000,34848,34848,,229.5684114,80.0,100000.0,alappuzha_Ezhupunna
alappuzha,Kannamangalam,₹55,5500000,10425,10425,,527.5779376,23.93250689,229812.9496,alappuzha_Kannamangalam
alappuzha,Chettikulangara,₹55,5500000,10454,10454,,526.114406,23.99908173,229175.4352,alappuzha_Chettikulangara
alappuzha,valiyakalavoor,₹2 Cr,20000000,8712,8712,,2295.684114,20.0,1000000.0,alappuzha_valiyakalavoor
alappuzha,Vayalar,₹9,900000,2613,2613,,344.4316877,5.99862259,150034.4432,alappuzha_Vayalar
alappuzha,Thiruvambady,₹52.5,5250000,6534,6534,,803.4894399,15.0,350000.0,alappuzha_Thiruvambady
alappuzha,Haripad,₹68,6800000,6534,6534,,1040.710132,15.0,453333.3333,alappuzha_Haripad
alappuzha,Mararikulam,₹65,6500000,8712,8712,,746.097337,20.0,325000.0,alappuzha_Mararikulam
alappuzha,Chengannur,₹21,2100000,7623,7623,,275.4820937,17.5,120000.0,alappuzha_Chengannur
alappuzha,Vandanam,₹35.4,3540000,5227,5227,,677.2527262,11.99954086,295011.2875,alappuzha_Vandanam
alappuzha,Cherthala,₹1.41 Cr,14100000,14374,14374,,980.9378044,32.99816345,427296.5076,alappuzha_Cherthala
alappuzha,Cherthala,₹84,8400000,13068,13068,,642.7915519,30.0,280000.0,alappuzha_Cherthala
alappuzha,Nedumudy,₹24,2400000,2613,2613,,918.4845006,5.99862259,400091.8485,alappuzha_Nedumudy
alappuzha,Haripad,₹40,4000000,6534,6534,,612.1824304,15.0,266666.6667,alappuzha_Haripad
alappuzha,Cherthala,₹66.5,6650000,8276,8276,,803.5282745,18.99908173,350016.9164,alappuzha_Cherthala
alappuzha,Mavelikara,₹60,6000000,8712,8712,,688.7052342,20.0,300000.0,alappuzha_Mavelikara
alappuzha,Chengannur,₹45,4500000,6000,6000,,750.0,13.77410468,326700.0,alappuzha_Chengannur
alappuzha,Kalavoor,₹77.5,7750000,10890,10890,,711.6620753,25.0,310000.0,alappuzha_Kalavoor
alappuzha,Cherthala,₹45,4500000,4356,4356,,1033.057851,10.0,450000.0,alappuzha_Cherthala
alappuzha,Kayamkulam,₹50,5000000,9147,9147,,546.6273095,20.99862259,238110.856,alappuzha_Kayamkulam
alappuzha,Cherthala,₹70,7000000,7405,7405,,945.3072248,16.99954086,411775.8271,alappuzha_Cherthala
